employee_id,name,subsidiary,division,department,role,level,fte,manager_id,performance_score,engagement_score,market_pull,key_person_dependency,attrition_risk,tenure_years,salary_grade
E0075,Trần Minh Linh,Genesis Social Responsibility Platform,Manufacturing,Production,Production Senior Specialist,Senior Specialist,1,E0863,65.7,60.2,40,87,52.8,4.4,G5
E0076,Đặng Minh Chi,Genesis Holding Office,Manufacturing,Production,Production Staff,Staff,1,E0464,68.7,49.4,57,38,42.6,3.0,G7
E0077,Hoàng Gia Long,Genesis Fund & Innovation,Commercial,Marketing,Marketing Staff,Staff,1,E0630,81.0,96.2,46,44,30.2,4.1,G6
E0078,Phạm Ngọc Sơn,Genesis Social Responsibility Platform,Manufacturing,Quality,Quality Specialist,Specialist,1,E0455,69.8,62.4,44,86,47.6,3.6,G7
E0079,Trần Đức Chi,Genesis Human Resources Services,Executive,Transformation Office,Transformation Office Specialist,Specialist,1,E0765,65.2,69.7,47,88,50.4,4.8,G2
E0080,Hồ Gia Dũng,Genesis Fund & Innovation,CSR,Sustainability,Sustainability Specialist,Specialist,1,E0043,66.1,59.0,34,62,32.8,3.9,G8
E0081,Lê Ngọc An,Genesis Social Responsibility Platform,Corporate,Finance,Finance Staff,Staff,1,E0271,78.2,99.0,64,33,16.5,2.5,G7
E0082,Vũ Thị Chi,Genesis Social Responsibility Platform,Executive,Transformation Office,Transformation Office Supervisor,Supervisor,1,CEO,69.7,64.2,32,39,29.8,0.8,G4
E0083,Lê Văn Minh,Genesis Human Resources Services,Manufacturing,Production,Production Staff,Staff,1,E0494,80.3,59.7,73,18,36.0,6.1,G9
E0084,Đỗ Thu Nam,Genesis Human Resources Services,Investment,Research,Research Staff,Staff,1,E1000,78.6,70.4,49,30,34.0,0.9,G10
E0085,Trần Gia Long,Genesis Fund & Innovation,Corporate,Finance,Finance Specialist,Specialist,1,E0734,73.0,60.5,74,76,59.7,5.2,G7
E0086,Vũ Văn Quân,Genesis Human Resources Services,Corporate,HR,HR Supervisor,Supervisor,1,CEO,47.7,77.3,33,64,36.3,2.8,G7
E0087,Vũ Đức An,Genesis Human Resources Services,Manufacturing,Supply Chain,Supply Chain Specialist,Specialist,1,E0434,78.0,71.0,52,77,50.1,3.9,G7
E0088,Nguyễn Minh An,Genesis Fund & Innovation,Commercial,Sales,Sales Staff,Staff,1,E0243,63.3,96.5,89,32,30.8,3.6,G5
E0089,Đỗ Thị Hải,Genesis Holding Office,Commercial,Sales,Sales Senior Manager,Senior Manager,1,CEO,56.6,87.2,45,91,40.2,4.0,G8
E0090,Phạm Văn Nam,Genesis Green Manufacturing,Technology,IT,IT Senior Specialist,Senior Specialist,1,E0225,82.1,71.4,59,90,52.3,11.1,G3
E0091,Lê Văn An,Genesis Holding Office,Commercial,Sales,Sales Staff,Staff,1,E0488,94.1,57.6,80,34,52.2,1.8,G9
E0092,Bùi Ngọc Nam,Genesis Human Resources Services,Corporate,HR,HR Specialist,Specialist,1,E0479,77.7,75.2,57,60,32.6,6.2,G6
E0093,Bùi Gia Mai,Genesis Fund & Innovation,Manufacturing,Quality,Quality Supervisor,Supervisor,1,CEO,89.8,89.0,46,50,31.1,12.7,G3
E0094,Đặng Gia Minh,Genesis Social Responsibility Platform,Manufacturing,Quality,Quality Staff,Staff,1,E0511,85.5,69.7,67,18,35.9,5.2,G10
E0095,Lê Đức Yến,Genesis Human Resources Services,CSR,Sustainability,Sustainability Senior Specialist,Senior Specialist,1,E0458,82.4,61.7,64,55,51.0,3.8,G7
E0096,Phạm Thị Long,Genesis Green Manufacturing,Manufacturing,Supply Chain,Supply Chain Senior Specialist,Senior Specialist,1,E0318,81.2,57.9,70,91,58.5,3.6,G5
E0097,Vũ Gia Bình,Genesis Green Manufacturing,Manufacturing,Quality,Quality Specialist,Specialist,1,E0589,81.4,95.0,52,69,23.7,2.4,G4
E0098,Nguyễn Đức Mai,Genesis Green Manufacturing,Manufacturing,EHS,EHS Senior Specialist,Senior Specialist,1,E0759,80.1,76.8,37,65,37.1,3.6,G8
E0099,Lê Minh Hà,Genesis Holding Office,Technology,Data & AI,Data & AI Senior Specialist,Senior Specialist,1,E0270,56.2,55.7,72,97,51.3,2.8,G7
E0100,Bùi Thu An,Genesis Fund & Innovation,Commercial,Marketing,Marketing Senior Specialist,Senior Specialist,1,E0630,58.6,76.1,40,55,32.6,9.5,G3
E0101,Đặng Minh Phúc,Genesis Holding Office,Manufacturing,Supply Chain,Supply Chain Specialist,Specialist,1,E0831,75.8,71.7,72,85,43.6,3.2,G3
E0102,Lê Thị Bình,Genesis Human Resources Services,Executive,Strategy,Strategy Specialist,Specialist,1,E0065,70.7,75.5,73,61,41.3,6.8,G2
E0103,Vũ Thị Minh,Genesis Green Manufacturing,Manufacturing,Production,Production Staff,Staff,1,E0506,68.9,82.1,60,27,27.7,2.5,G2
E0104,Lê Văn Long,Genesis Holding Office,Manufacturing,Supply Chain,Supply Chain Staff,Staff,1,E0396,76.6,77.4,43,33,22.1,4.4,G7
E0105,Bùi Gia Việt,Genesis Human Resources Services,Technology,IT,IT Specialist,Specialist,1,E0193,99.0,80.0,55,64,29.7,3.4,G4
E0106,Nguyễn Ngọc Thảo,Genesis Human Resources Services,Technology,Data & AI,Data & AI Supervisor,Supervisor,1,CEO,96.2,65.7,54,22,37.4,1.2,G6
E0107,Hoàng Ngọc Tuấn,Genesis Green Manufacturing,Manufacturing,Production,Production Manager,Manager,1,CEO,86.7,90.7,61,87,36.9,4.6,G9
E0108,Bùi Đức Chi,Genesis Social Responsibility Platform,Technology,Data & AI,Data & AI Senior Specialist,Senior Specialist,1,E0356,92.8,85.0,93,92,57.2,7.1,G10
E0109,Lê Văn Tâm,Genesis Human Resources Services,Executive,Transformation Office,Transformation Office Specialist,Specialist,1,E0273,80.1,70.6,47,77,44.1,2.7,G9
E0110,Bùi Minh Việt,Genesis Fund & Innovation,Corporate,HR,HR Staff,Staff,1,E0974,74.5,79.7,27,62,35.2,5.3,G7
E0111,Đặng Văn Hà,Genesis Fund & Innovation,Commercial,Sales,Sales Staff,Staff,1,E0593,84.7,41.4,84,63,60.1,0.7,G8
E0112,Trần Thu Hải,Genesis Social Responsibility Platform,Manufacturing,Production,Production Specialist,Specialist,1,E0265,77.2,75.9,73,69,45.3,7.4,G3
E0113,Hồ Gia Sơn,Genesis Human Resources Services,Manufacturing,EHS,EHS Staff,Staff,1,E0759,83.9,68.4,22,10,21.9,4.0,G2
E0114,Phạm Gia Tâm,Genesis Social Responsibility Platform,Manufacturing,EHS,EHS Staff,Staff,1,E0280,79.7,66.5,53,21,30.8,4.7,G5
E0115,Trần Minh Thảo,Genesis Holding Office,Commercial,Marketing,Marketing Supervisor,Supervisor,1,CEO,73.6,77.3,69,46,29.4,1.3,G6
E0116,Hồ Thị Hải,Genesis Social Responsibility Platform,Manufacturing,Production,Production Staff,Staff,1,E0133,77.0,52.6,38,25,31.6,4.3,G9
E0117,Đỗ Ngọc Tuấn,Genesis Green Manufacturing,Commercial,Customer Success,Customer Success Staff,Staff,1,E0121,87.4,67.4,62,47,33.3,6.4,G9
E0118,Nguyễn Minh Hà,Genesis Green Manufacturing,Commercial,Marketing,Marketing Senior Specialist,Senior Specialist,1,E0309,71.5,56.7,35,55,46.6,2.0,G8
E0119,Phạm Ngọc Long,Genesis Human Resources Services,Manufacturing,Quality,Quality Senior Specialist,Senior Specialist,1,E0266,72.9,74.6,21,78,29.4,7.0,G10
E0120,Hoàng Thị Dũng,Genesis Fund & Innovation,Manufacturing,Production,Production Specialist,Specialist,1,E0506,65.0,77.2,70,76,39.5,2.9,G7
E0121,Hoàng Đức Long,Genesis Fund & Innovation,Commercial,Customer Success,Customer Success Supervisor,Supervisor,1,CEO,87.2,86.8,47,54,27.9,3.1,G2
E0122,Hồ Ngọc Việt,Genesis Holding Office,Commercial,Marketing,Marketing Specialist,Specialist,1,E0630,58.9,50.5,60,61,41.8,2.4,G10
E0123,Bùi Ngọc Tuấn,Genesis Fund & Innovation,Corporate,Finance,Finance Staff,Staff,1,E0829,82.8,81.2,69,34,25.9,2.4,G10
E0124,Hoàng Thu Long,Genesis Green Manufacturing,Manufacturing,Quality,Quality Specialist,Specialist,1,E0202,94.9,69.3,52,98,53.8,2.4,G6
E0125,Vũ Thu Dũng,Genesis Green Manufacturing,Executive,CEO Office,CEO Office Staff,Staff,1,E0432,70.4,85.1,55,31,29.8,3.5,G9
E0126,Đỗ Gia Việt,Genesis Social Responsibility Platform,CSR,Sustainability,Sustainability Senior Specialist,Senior Specialist,1,E0901,88.5,79.8,20,57,30.5,4.2,G3
E0127,Bùi Văn Yến,Genesis Social Responsibility Platform,Manufacturing,Supply Chain,Supply Chain Staff,Staff,1,E0572,81.2,89.1,54,38,18.4,2.0,G8
E0128,Đỗ Minh Yến,Genesis Fund & Innovation,Manufacturing,Maintenance,Maintenance Manager,Manager,1,CEO,81.7,75.6,48,83,42.3,3.4,G6
E0129,Vũ Thu Nam,Genesis Fund & Innovation,Commercial,Sales,Sales Staff,Staff,1,E0263,83.5,89.8,79,23,24.8,1.2,G5
E0130,Hoàng Ngọc Linh,Genesis Holding Office,Manufacturing,Maintenance,Maintenance Staff,Staff,1,E0963,57.9,86.1,52,17,15.5,5.3,G10
E0131,Vũ Văn Tuấn,Genesis Fund & Innovation,Corporate,HR,HR Senior Specialist,Senior Specialist,1,E0086,75.7,89.2,25,55,29.7,1.8,G8
E0132,Đặng Ngọc Hà,Genesis Green Manufacturing,Manufacturing,Maintenance,Maintenance Manager,Manager,1,CEO,78.0,91.6,54,63,27.7,3.0,G7
E0133,Hoàng Gia Quân,Genesis Holding Office,Manufacturing,Production,Production Senior Manager,Senior Manager,1,CEO,71.3,77.2,21,76,28.3,8.2,G2
E0134,Hồ Văn Quân,Genesis Fund & Innovation,Manufacturing,Production,Production Manager,Manager,1,CEO,93.2,81.2,25,83,33.3,6.5,G10
E0135,Nguyễn Minh Sơn,Genesis Social Responsibility Platform,Manufacturing,Maintenance,Maintenance Staff,Staff,1,E0461,84.2,69.6,44,28,31.2,2.8,G6
E0136,Phạm Minh Việt,Genesis Social Responsibility Platform,Technology,IT,IT Staff,Staff,1,E0358,79.6,42.0,73,14,49.5,0.3,G10
E0137,Trần Gia Thảo,Genesis Fund & Innovation,Manufacturing,Supply Chain,Supply Chain Staff,Staff,1,E0727,99.0,80.4,45,56,38.3,12.1,G5
E0138,Bùi Thu Minh,Genesis Human Resources Services,Corporate,Finance,Finance Specialist,Specialist,1,E0271,89.8,37.1,47,81,60.9,3.4,G6
E0139,Phạm Thị Trang,Genesis Social Responsibility Platform,Manufacturing,Quality,Quality Specialist,Specialist,1,E0093,66.1,94.4,29,58,15.2,1.5,G2
E0140,Trần Gia Chi,Genesis Human Resources Services,Corporate,HR,HR Staff,Staff,1,E0479,69.6,78.5,72,29,37.0,7.0,G10
E0141,Vũ Thị Dũng,Genesis Social Responsibility Platform,Corporate,Finance,Finance Staff,Staff,1,E0829,82.0,79.9,78,14,26.7,6.0,G8
E0142,Vũ Văn Hà,Genesis Holding Office,Manufacturing,Quality,Quality Senior Manager,Senior Manager,1,CEO,86.6,72.1,22,72,40.5,2.4,G3
E0143,Đặng Ngọc Quân,Genesis Holding Office,Manufacturing,Production,Production Specialist,Specialist,1,E0451,80.5,73.2,75,67,37.1,0.8,G9
E0144,Lê Thu Mai,Genesis Fund & Innovation,Investment,Research,Research Senior Specialist,Senior Specialist,1,E1000,88.1,72.5,55,83,52.0,4.2,G9
E0145,Phạm Ngọc Linh,Genesis Fund & Innovation,Manufacturing,Supply Chain,Supply Chain Supervisor,Supervisor,1,CEO,71.9,86.6,36,44,24.8,2.0,G7
E0146,Lê Thị Yến,Genesis Green Manufacturing,Manufacturing,Maintenance,Maintenance Specialist,Specialist,1,E0035,92.5,79.6,38,59,34.8,2.5,G2
E0147,Hoàng Thị Yến,Genesis Holding Office,Manufacturing,Production,Production Specialist,Specialist,1,E0660,58.7,75.0,51,64,43.2,1.7,G6
E0148,Hồ Đức Việt,Genesis Human Resources Services,Commercial,Marketing,Marketing Specialist,Specialist,1,E0908,72.1,93.4,54,59,36.4,3.3,G10
E0149,Lê Minh Quân,Genesis Holding Office,Manufacturing,Production,Production Staff,Staff,1,E0496,84.1,96.4,73,25,17.8,3.9,G3
E0150,Hoàng Minh Việt,Genesis Green Manufacturing,Technology,IT,IT Supervisor,Supervisor,1,CEO,76.8,68.8,66,61,38.2,0.2,G8
E0151,Đặng Minh Quân,Genesis Fund & Innovation,Technology,Data & AI,Data & AI Senior Specialist,Senior Specialist,1,E0253,83.9,58.6,57,83,47.0,2.6,G6
E0152,Hoàng Ngọc Việt,Genesis Green Manufacturing,Technology,IT,IT Specialist,Specialist,1,E0150,71.0,84.7,62,60,43.0,4.4,G4
E0153,Phạm Minh Tâm,Genesis Holding Office,Technology,IT,IT Specialist,Specialist,1,E0657,72.6,48.5,52,66,53.9,2.1,G6
E0154,Bùi Thị Dũng,Genesis Fund & Innovation,Manufacturing,Production,Production Manager,Manager,1,CEO,59.7,89.4,29,62,19.3,1.8,G9
E0155,Hoàng Minh Phúc,Genesis Social Responsibility Platform,Manufacturing,Production,Production Specialist,Specialist,1,E0072,85.5,64.4,50,80,39.3,3.4,G7
E0156,Phạm Đức Dũng,Genesis Green Manufacturing,Manufacturing,Production,Production Specialist,Specialist,1,E0670,70.7,99.0,26,75,25.8,1.6,G6
E0157,Vũ Đức Chi,Genesis Social Responsibility Platform,Corporate,Finance,Finance Specialist,Specialist,1,E0271,91.1,80.7,47,58,35.0,3.8,G3
E0158,Phạm Thị Nam,Genesis Human Resources Services,Manufacturing,Maintenance,Maintenance Supervisor,Supervisor,1,CEO,75.5,66.6,32,21,34.4,4.4,G7
E0159,Vũ Thị Long,Genesis Fund & Innovation,Manufacturing,Production,Production Staff,Staff,1,E0472,84.0,69.3,50,54,43.7,3.1,G3
E0160,Hoàng Gia Dũng,Genesis Holding Office,Manufacturing,Maintenance,Maintenance Staff,Staff,1,E0461,76.8,79.6,30,14,23.9,2.2,G2
E0161,Nguyễn Văn Minh,Genesis Social Responsibility Platform,Manufacturing,Supply Chain,Supply Chain Staff,Staff,1,E0051,73.1,86.6,23,37,15.0,2.8,G5
E0162,Trần Gia Minh,Genesis Fund & Innovation,Manufacturing,Production,Production Senior Specialist,Senior Specialist,1,E0281,85.0,79.1,65,82,39.1,2.9,G10
E0163,Nguyễn Thu Yến,Genesis Holding Office,Manufacturing,Supply Chain,Supply Chain Staff,Staff,1,E0051,78.2,63.0,26,12,21.0,2.2,G2
E0164,Đặng Ngọc Mai,Genesis Green Manufacturing,Corporate,HR,HR Staff,Staff,1,E0617,74.1,83.9,72,65,42.5,9.3,G8
E0165,Hồ Thu Phúc,Genesis Holding Office,Manufacturing,Production,Production Specialist,Specialist,1,E0486,81.7,82.3,39,72,39.7,2.5,G3
E0166,Nguyễn Minh Bình,Genesis Green Manufacturing,Manufacturing,Production,Production Staff,Staff,1,E0995,83.2,92.3,70,56,32.3,7.1,G5
E0167,Bùi Gia Long,Genesis Human Resources Services,Commercial,Sales,Sales Specialist,Specialist,1,E0194,73.6,61.1,89,88,58.9,6.0,G4
E0168,Trần Đức Mai,Genesis Fund & Innovation,Manufacturing,Quality,Quality Specialist,Specialist,1,E0455,81.5,78.7,57,96,39.3,1.3,G3
E0169,Hoàng Đức Hà,Genesis Fund & Innovation,Manufacturing,Production,Production Specialist,Specialist,1,E0928,66.3,72.3,50,57,39.7,6.7,G4
E0170,Hoàng Thu Tâm,Genesis Fund & Innovation,Commercial,Marketing,Marketing Staff,Staff,1,E0115,75.2,74.6,30,12,13.7,2.4,G7
